PC Pair,k,DBI
PC1-PC2,3,0.8531150454913226
PC1-PC2,4,0.8557243295670446
PC1-PC2,5,0.81104255109817
PC1-PC2,6,0.8134210959673962
PC1-PC2,7,0.8509172292284709
PC1-PC2,8,0.8547874096976869
PC1-PC2,9,0.8149489954502541
PC1-PC2,10,0.7883287847837803
PC1-PC3,3,0.8212546209250379
PC1-PC3,4,0.8435762154436116
PC1-PC3,5,0.8461007448994262
PC1-PC3,6,0.8112481795158005
PC1-PC3,7,0.8206130451605824
PC1-PC3,8,0.8307511382087489
PC1-PC3,9,0.8067092014598229
PC1-PC3,10,0.7537212021589543
PC1-PC4,3,0.8337909592933084
PC1-PC4,4,0.8360860166584438
PC1-PC4,5,0.7602942332828182
PC1-PC4,6,0.7583220367148416
PC1-PC4,7,0.7631543273710445
PC1-PC4,8,0.7681976458755233
PC1-PC4,9,0.8047679926166834
PC1-PC4,10,0.7652721774002895
PC1-PC5,3,0.928744461315265
PC1-PC5,4,0.9182045206772513
PC1-PC5,5,0.8914166216293833
PC1-PC5,6,0.8301205232013517
PC1-PC5,7,0.8277732460580686
PC1-PC5,8,0.7457746047393425
PC1-PC5,9,0.764771583178301
PC1-PC5,10,0.7926688940165357
PC1-PC6,3,0.907903386957592
PC1-PC6,4,0.9887511318531856
PC1-PC6,5,0.8774325980614248
PC1-PC6,6,0.7676653874150654
PC1-PC6,7,0.8653472476056338
PC1-PC6,8,0.7925751395645845
PC1-PC6,9,0.7985319214154581
PC1-PC6,10,0.8028679502614249
PC1-PC7,3,0.8961290232710221
PC1-PC7,4,0.9234637200199955
PC1-PC7,5,0.8879581564864019
PC1-PC7,6,0.8681376770294907
PC1-PC7,7,0.8254696017483568
PC1-PC7,8,0.7993773272361447
PC1-PC7,9,0.844280045103135
PC1-PC7,10,0.8616389268442834
PC1-PC8,3,0.9895066210678053
PC1-PC8,4,1.0790524261337648
PC1-PC8,5,0.9008983132222733
PC1-PC8,6,0.8784819951870122
PC1-PC8,7,0.8466397870726724
PC1-PC8,8,0.8515871645351158
PC1-PC8,9,0.8312220628709897
PC1-PC8,10,0.786887736168832
PC1-PC9,3,0.6653676402123375
PC1-PC9,4,0.7392297651727452
PC1-PC9,5,0.798593425247249
PC1-PC9,6,0.8451952929464565
PC1-PC9,7,0.8360082135166633
PC1-PC9,8,0.8668341187918244
PC1-PC9,9,0.8603821959917851
PC1-PC9,10,0.8997002286383464
PC1-PC10,3,0.9314858587441642
PC1-PC10,4,0.7897030012167713
PC1-PC10,5,0.8507122335589535
PC1-PC10,6,0.7554898600058412
PC1-PC10,7,0.8101980628286113
PC1-PC10,8,0.801112750422074
PC1-PC10,9,0.783271723073833
PC1-PC10,10,0.8331881368776859
PC2-PC3,3,0.9930066251216392
PC2-PC3,4,0.8734442156482636
PC2-PC3,5,0.8322598121011312
PC2-PC3,6,0.8166161109907875
PC2-PC3,7,0.8098349063984457
PC2-PC3,8,0.7806344603029198
PC2-PC3,9,0.7865510235697484
PC2-PC3,10,0.8158206927682443
PC2-PC4,3,0.9296673053248048
PC2-PC4,4,0.9154081234184395
PC2-PC4,5,0.7280186443664041
PC2-PC4,6,0.7169557226354325
PC2-PC4,7,0.8073122005897246
PC2-PC4,8,0.7843269913839765
PC2-PC4,9,0.7536336341643355
PC2-PC4,10,0.8120875099499777
PC2-PC5,3,1.0543807612093528
PC2-PC5,4,0.8846159253222128
PC2-PC5,5,0.8089487578156819
PC2-PC5,6,0.7837427846746827
PC2-PC5,7,0.7928088995473933
PC2-PC5,8,0.7733700775627923
PC2-PC5,9,0.7569900908452742
PC2-PC5,10,0.7625816676607111
PC2-PC6,3,0.8703296324100558
PC2-PC6,4,0.8493369035672096
PC2-PC6,5,0.7848354187214579
PC2-PC6,6,0.7956407636283137
PC2-PC6,7,0.74681193275054
PC2-PC6,8,0.7510311922137707
PC2-PC6,9,0.768500708018898
PC2-PC6,10,0.8112420216811179
PC2-PC7,3,0.9572370521598863
PC2-PC7,4,0.9438947218450116
PC2-PC7,5,0.7887320497995326
PC2-PC7,6,0.802797715475536
PC2-PC7,7,0.8097385086368938
PC2-PC7,8,0.7562417981249387
PC2-PC7,9,0.7567483591372781
PC2-PC7,10,0.768108979226065
PC2-PC8,3,1.0663402853295578
PC2-PC8,4,0.9762728175200821
PC2-PC8,5,0.8813600814850318
PC2-PC8,6,0.8487530310019574
PC2-PC8,7,0.8956192230154738
PC2-PC8,8,0.7866837809186862
PC2-PC8,9,0.7796424861326703
PC2-PC8,10,0.7653971796926402
PC2-PC9,3,0.942481101132599
PC2-PC9,4,0.8465704457671616
PC2-PC9,5,0.839829639364401
PC2-PC9,6,0.8485080683993368
PC2-PC9,7,0.8513074132775602
