PC Pair,k,Silhouette
PC1-PC2,3,0.44441360700519505
PC1-PC2,4,0.3959367332991306
PC1-PC2,5,0.4086367630685968
PC1-PC2,6,0.4161097837324706
PC1-PC2,7,0.4218417059510003
PC1-PC2,8,0.4254322040944101
PC1-PC2,9,0.42135587276235564
PC1-PC2,10,0.4277449234992377
PC1-PC3,3,0.4981530232804235
PC1-PC3,4,0.4135822161060911
PC1-PC3,5,0.4338145210280563
PC1-PC3,6,0.4339473341353026
PC1-PC3,7,0.43990582129559685
PC1-PC3,8,0.4473874547801802
PC1-PC3,9,0.45152846999840296
PC1-PC3,10,0.4897830442053095
PC1-PC4,3,0.41370684228149285
PC1-PC4,4,0.42385479562150197
PC1-PC4,5,0.44552550679227726
PC1-PC4,6,0.45483003576118464
PC1-PC4,7,0.4689069142581415
PC1-PC4,8,0.4559595891023698
PC1-PC4,9,0.45406322766264257
PC1-PC4,10,0.48442663568934
PC1-PC5,3,0.4901344229642922
PC1-PC5,4,0.3853096995070814
PC1-PC5,5,0.3892473616651034
PC1-PC5,6,0.43151341718033087
PC1-PC5,7,0.4247555554197127
PC1-PC5,8,0.44395356711560563
PC1-PC5,9,0.45693471281562004
PC1-PC5,10,0.44761542212718375
PC1-PC6,3,0.39086173008582414
PC1-PC6,4,0.39376387230116877
PC1-PC6,5,0.40567937518119956
PC1-PC6,6,0.4523195143461965
PC1-PC6,7,0.4099301684647286
PC1-PC6,8,0.45506084656039913
PC1-PC6,9,0.43476388947137407
PC1-PC6,10,0.43458802426558885
PC1-PC7,3,0.4662660059146663
PC1-PC7,4,0.37753445298725224
PC1-PC7,5,0.4092370520843919
PC1-PC7,6,0.4083320921349441
PC1-PC7,7,0.4130310665346303
PC1-PC7,8,0.4225816476788184
PC1-PC7,9,0.4109880788637128
PC1-PC7,10,0.4013094881383794
PC1-PC8,3,0.35016863782977525
PC1-PC8,4,0.3161240632750872
PC1-PC8,5,0.37892623774188017
PC1-PC8,6,0.3665843851448347
PC1-PC8,7,0.3701456631861936
PC1-PC8,8,0.37017614740140314
PC1-PC8,9,0.36792410908798534
PC1-PC8,10,0.37750774815364474
PC1-PC9,3,0.5186725946773721
PC1-PC9,4,0.42965238029431735
PC1-PC9,5,0.4211738596581156
PC1-PC9,6,0.3983416143680074
PC1-PC9,7,0.40338102256608704
PC1-PC9,8,0.3792691196788703
PC1-PC9,9,0.38650184543941474
PC1-PC9,10,0.3822132169684488
PC1-PC10,3,0.37625436318574634
PC1-PC10,4,0.41347743401794335
PC1-PC10,5,0.3959945441955669
PC1-PC10,6,0.41046414984466867
PC1-PC10,7,0.3904785433069337
PC1-PC10,8,0.38775990699392504
PC1-PC10,9,0.3908467606845208
PC1-PC10,10,0.3849389094358789
PC2-PC3,3,0.35389556512207676
PC2-PC3,4,0.39968002048609
PC2-PC3,5,0.4034996328541878
PC2-PC3,6,0.40343909378334614
PC2-PC3,7,0.400743232592921
PC2-PC3,8,0.4118024458459423
